id,Label,subcat1,subcat2,obj1,pb1,obj2,pb2,obj3,pb3,obj4,pb4,obj5,pb5,obj6,pb6,black,red,green,blue,yellow,magenta,cyan,maroon,purple,orange,gray,white,booksDay,price
0399255370,"The Day the Crayons Quit Hardcover","Children's Books","Growing Up & Facts of Life",nipple,9.142620116472244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.483329547462,0.40635016784,0.145125059943,0.0,1.32757880922,0.0,0.00126195704298,0.141339188814,0.0605739380631,2.14280305898,5.96022311401,89.3314151586,D,8.99
0679809015,"Open the Barn Door (A Chunky Book(R)) Board book","Children's Books","Early Learning",birdhouse,99.99997615814209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.82588427528,0.173010380623,0.0804978854287,0.0,3.99245482507,0.0,6.02412533641,4.53070934256,0.0756920415225,12.8760572857,47.9178681276,18.5037004998,E,2.56
0439738199,"May I Please Have a Cookie? (Scholastic Readers, Level 1) Paperback","Children's Books","Growing Up & Facts of Life",teapot,78.7843644618988,frisbee,96.41916155815125,banana,86.04178428649902,NULL,NULL,NULL,NULL,NULL,NULL,8.07685527939,6.4427992244,0.0,0.0,5.64075445091,0.0951877313591,0.0,7.1302661731,11.6816499207,27.7895293496,20.1040014102,13.0389564604,E,2.37
1433805618,"Publication Manual of the American Psychological Association, 6th Edition 6th Edition",Reference,"Writing, Research & Publishing Guides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0025311329351,0.0,0.0025311329351,87.3088994634,2.83486888731,0.0,3.59673990078,0.0,0.161992507847,0.0,4.40923357295,1.68320340184,B,24.02
0140177396,"Of Mice and Men Mass Market Paperback","Politics & Social Sciences","Politics & Government",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.005541347,0.0,0.0,0.0,0.15558397272,0.0,0.0,7.3273657289,0.142796248934,0.40494458653,25.7416879795,49.2220801364,D,5.6
0062218336,"Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain Hardcover","Business & Money","Management & Leadership",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.34965034965,0.0,0.0,0.0,0.0999000999001,0.0,0.0,3.2079032079,0.0777000777001,61.5079365079,9.56265956266,25.1942501943,E,14.99
0448437473,"The Night Before First Grade Paperback","Children's Books","Growing Up & Facts of Life",library,9.571143984794617,desk,8.050327748060226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.27964718209,0.103554981604,0.0,0.0,1.05260593065,0.0,1.07088033917,3.40513145391,0.700518993202,3.85711849126,36.1528715187,50.3776711094,E,2.43
0143118757,"Getting to Yes: Negotiating Agreement Without Giving In Paperback",Self-Help,Relationships,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.10126283489,8.91065738227,0.0,0.0,0.162280184114,0.0,0.0,0.321609819426,0.0177032928125,1.982768795,8.53593768441,75.9677800071,E,7.99
031623480X,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers Hardcover","Health, Fitness & Dieting","Diets & Weight Loss",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.80030685708,0.0,0.0,0.0,0.0,0.0,0.0,2.86203233801,0.0,0.421928478697,12.2919863095,80.6237460168,D,12.99
054568515X,"Minecraft: Redstone Handbook: An Official Mojang Book Hardcover","Children's Books","Activities, Crafts & Games",doormat,9.8589688539505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.685587538438,0.0,0.0,0.0,0.831778998841,0.0,0.0,68.0370015627,0.0504108484146,3.23889701064,20.4239552352,6.73236880577,D,4.75
0890425566,"Desk Reference to the Diagnostic Criteria from DSM-5","New, Used & Rental Textbooks","Medicine & Health Sciences",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.5127928317,0.0,0.0,0.0,0.0,0.0,0.0,0.367051711109,17.0139263737,0.248299686926,3.65432365324,3.20360574328,E,17.0
0670024783,"The Invention of Wings Hardcover","Literature & Fiction","Genre Fiction",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.0137844612,0.00854408749146,0.0,0.0,0.00854408749146,0.0,0.0,34.039644566,0.0142401458191,23.7069947596,15.194235589,9.01401230349,D,10.99
0768934400,"The Real ACT (CD) 3rd Edition (Official Act Prep Guide) 3rd Edition","Teen & Young Adult","Education & Reference",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.3363750224,7.33047056719,0.0,0.0,9.21273930936,0.0,0.0,41.2882447665,0.0787260690642,0.334585793523,2.95222758991,28.4666308821,D,19.1
0316406813,"A Grimm Warning (The Land of Stories) Hardcover","Children's Books","Growing Up & Facts of Life",person,76.11169219017029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.71116283777,6.41382451169,0.0,0.00253010828863,10.7276591438,0.0,0.354215160409,37.1343993523,0.0708430320818,9.06537799818,23.0695273758,4.45046047971,E,9.99
067144901X,"Moo Baa La La La Board book","Children's Books","Early Learning",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.21651400504,0.0,0.0,0.323908137528,0.325235629895,0.0,0.0199123855038,0.146024160361,0.0610646488783,0.0,8.35921943449,87.5481215983,D,3.76
